12000,Florida,FL,6.10,7.50,8.20,7.10,6.40,5.50,5.20,4.80,4.30,3.90,3.70,4.70,5.60,5.20,4.60,3.70,3.20,4.00,6.30,10.40,11.10,10.00,8.50,7.30,6.30,5.40
13000,Georgia,GA,5.50,5.20,6.90,6.00,5.20,4.80,4.70,4.60,4.30,3.90,3.60,4.00,5.00,4.80,4.80,5.30,4.70,4.50,6.20,9.90,10.50,10.20,9.20,8.20,7.10,5.90
15000,Hawaii,HI,2.70,2.90,4.30,4.50,5.50,5.90,6.30,6.20,6.10,5.40,4.20,4.50,4.20,4.10,3.40,2.90,2.60,2.80,4.30,7.20,6.90,6.80,6.00,4.90,4.40,3.60
16000,Idaho,ID,5.50,6.20,6.40,6.00,5.40,5.40,5.30,5.10,5.10,4.90,4.70,5.10,5.60,5.60,4.90,4.00,3.50,3.10,5.10,8.80,9.00,8.30,7.20,6.20,4.80,4.10
17000,Illinois,IL,6.10,7.30,7.90,7.40,5.80,5.20,5.30,4.80,4.40,4.40,4.30,5.30,6.50,6.80,6.20,5.70,4.50,5.00,6.30,10.20,10.40,9.70,9.00,9.10,7.10,5.90
18000,Indiana,IN,5.30,6.00,6.60,5.40,4.90,4.60,4.10,3.50,3.10,3.00,3.10,4.20,5.20,5.30,5.40,5.50,5.00,4.60,5.90,10.30,10.40,9.10,8.30,7.70,5.90,4.80
19000,Iowa,IA,4.40,4.70,4.50,4.00,3.50,3.40,3.50,3.10,2.70,2.60,2.60,3.30,4.00,4.50,4.50,4.30,3.70,3.70,4.20,6.40,6.00,5.50,5.10,4.70,4.20,3.70
20000,Kansas,KS,4.30,4.40,4.50,5.00,4.90,4.40,4.30,3.80,3.50,3.30,3.60,4.20,5.10,5.50,5.50,5.00,4.40,4.20,4.60,6.90,7.10,6.50,5.70,5.30,4.60,4.20
21000,Kentucky,KY,6.00,7.30,6.90,6.20,5.40,5.40,5.50,5.30,4.60,4.50,4.20,5.20,5.70,6.10,5.40,5.90,5.70,5.40,6.40,10.30,10.20,9.40,8.20,8.10,6.50,5.40
22000,Louisiana,LA,6.20,7.30,8.00,7.60,7.80,7.00,6.60,6.00,5.70,5.10,5.30,5.70,6.10,6.40,5.90,7.20,4.50,4.30,4.90,6.80,8.00,7.80,7.10,6.70,6.40,6.30
23000,Maine,ME,5.30,7.50,7.30,7.30,7.00,6.00,5.20,5.10,4.50,4.00,3.40,3.80,4.30,5.00,4.60,4.90,4.60,4.70,5.50,8.10,8.10,7.90,7.50,6.60,5.60,4.40
24000,Maryland,MD,4.50,6.10,6.80,6.20,5.30,5.00,5.00,5.00,4.40,3.60,3.60,4.00,4.40,4.40,4.30,4.10,3.90,3.50,4.20,7.00,7.70,7.20,7.00,6.60,5.80,5.20
25000,Massachusetts,MA,6.30,8.60,8.50,7.00,6.00,5.30,4.40,3.90,3.30,3.20,2.70,3.70,5.30,5.70,5.10,4.80,4.90,4.60,5.50,8.10,8.30,7.30,6.70,6.70,5.70,5.00
26000,Michigan,MI,7.60,9.20,9.00,7.20,6.00,5.30,4.90,4.30,3.90,3.70,3.60,5.20,6.30,7.20,7.00,6.80,7.00,7.00,8.00,13.70,12.60,10.40,9.10,8.80,7.30,5.40
27000,Minnesota,MN,4.80,5.10,5.10,5.00,4.10,3.70,4.00,3.30,2.70,2.80,3.20,3.80,4.50,4.90,4.70,4.10,4.00,4.60,5.40,7.80,7.40,6.50,5.60,4.90,4.20,3.70
28000,Mississippi,MS,7.60,8.50,8.10,6.60,6.30,6.20,6.00,5.70,5.30,5.10,5.40,5.50,6.60,6.30,6.20,7.50,6.50,6.10,6.60,9.50,10.40,10.00,9.00,8.60,7.60,6.50
29000,Missouri,MO,5.80,6.60,6.20,6.20,5.10,4.70,4.80,4.30,4.20,3.30,3.60,4.60,5.40,5.60,5.90,5.40,4.80,5.10,6.10,9.30,9.60,8.50,7.00,6.70,6.20,5.00
30000,Montana,MT,6.00,6.90,6.70,6.00,5.20,5.70,5.30,5.30,5.50,5.30,5.00,4.50,4.40,4.70,4.80,4.40,3.50,3.60,5.10,6.80,7.30,6.90,6.00,5.40,4.70,4.10
31000,Nebraska,NE,2.30,2.70,2.90,2.80,2.60,2.60,2.70,2.50,2.60,2.80,2.80,3.10,3.60,3.90,3.90,3.80,3.10,3.00,3.30,4.60,4.60,4.40,4.00,3.80,3.30,3.00
32000,Nevada,NV,4.70,5.80,6.70,6.80,6.20,5.60,5.00,4.40,4.20,4.00,4.20,5.20,5.60,5.10,4.30,4.10,4.00,4.50,6.70,11.30,13.50,13.00,11.20,9.60,7.90,6.70
33000,New Hampshire,NH,5.70,7.30,7.30,6.10,4.70,4.00,3.80,3.30,2.80,2.70,2.70,3.40,4.50,4.30,3.80,3.60,3.40,3.50,3.90,6.20,5.80,5.40,5.50,5.10,4.30,3.40
34000,New Jersey,NJ,5.00,6.70,8.40,7.60,6.80,6.40,6.10,5.30,4.60,4.50,3.70,4.30,5.80,5.80,4.80,4.50,4.70,4.30,5.30,9.10,9.50,9.30,9.30,8.20,6.70,5.60
35000,New Mexico,NM,6.60,7.10,7.20,7.00,6.50,6.60,7.20,6.30,6.10,5.60,4.90,4.90,5.50,5.90,5.50,5.10,4.20,3.80,4.50,7.50,8.10,7.50,7.10,7.00,6.70,6.60
36000,New York,NY,5.30,7.20,8.60,7.90,6.90,6.30,6.20,6.40,5.60,5.20,4.50,4.80,6.10,6.40,5.80,5.00,4.50,4.60,5.40,8.30,8.60,8.30,8.50,7.70,6.30,5.30
37000,North Carolina,NC,4.10,5.80,6.00,5.00,4.40,4.30,4.30,3.70,3.50,3.20,3.70,5.50,6.60,6.40,5.50,5.20,4.70,4.70,6.10,10.60,10.90,10.30,9.30,7.90,6.30,5.70
38000,North Dakota,ND,4.00,4.40,4.70,4.30,3.70,3.20,2.90,2.70,2.90,3.30,3.00,2.90,3.70,3.70,3.40,3.40,3.20,3.10,3.20,4.10,3.80,3.50,3.10,2.90,2.70,2.70
39000,Ohio,OH,5.60,6.50,7.40,6.60,5.60,4.80,5.00,4.60,4.30,4.30,4.00,4.30,5.70,6.20,6.30,5.90,5.40,5.60,6.40,10.30,10.30,8.80,7.40,7.50,5.80,4.90
40000,Oklahoma,OK,5.70,6.30,6.00,5.90,5.60,4.60,4.10,4.10,4.30,3.50,3.00,3.70,4.70,5.50,4.90,4.50,4.00,4.10,3.70,6.40,6.80,5.90,5.30,5.30,4.50,4.20
41000,Oregon,OR,5.50,6.40,7.40,7.00,5.40,4.90,5.70,5.70,5.70,5.50,5.10,6.40,7.50,8.10,7.30,6.20,5.30,5.20,6.50,11.30,10.60,9.50,8.80,7.90,6.80,5.70
42000,Pennsylvania,PA,5.50,7.00,7.60,7.00,6.30,5.90,5.40,5.10,4.60,4.40,4.10,4.80,5.60,5.70,5.40,5.00,4.60,4.40,5.30,8.00,8.50,7.90,7.80,7.40,5.90,5.10
44000,Rhode Island,RI,6.30,8.60,8.90,7.70,6.90,6.30,5.40,5.10,4.60,4.20,4.10,4.60,5.00,5.30,5.20,5.00,4.90,5.20,7.80,11.00,11.20,11.00,10.40,9.30,7.70,6.00
45000,South Carolina,SC,4.80,6.10,6.70,7.30,6.20,5.20,5.80,4.60,3.80,4.30,3.80,5.20,5.80,6.90,6.80,6.70,6.40,5.70,6.80,11.20,11.20,10.60,9.20,7.60,6.40,6.00
46000,South Dakota,SD,3.80,3.50,3.30,3.40,3.30,3.00,3.20,2.90,2.80,2.70,2.50,3.10,3.20,3.50,3.70,3.80,3.10,2.80,3.10,4.90,5.00,4.70,4.30,3.80,3.40,3.10
47000,Tennessee,TN,5.30,6.80,6.50,5.80,4.80,5.20,5.20,5.30,4.30,4.00,3.90,4.60,5.20,5.60,5.30,5.60,5.20,4.70,6.60,10.50,9.70,9.00,7.80,7.80,6.50,5.80
48000,Texas,TX,6.30,6.90,7.60,7.20,6.50,6.10,5.70,5.30,4.90,4.70,4.30,5.00,6.40,6.70,5.90,5.40,4.90,4.30,4.80,7.60,8.10,7.80,6.70,6.20,5.10,4.50
49000,Utah,UT,4.40,4.70,4.80,4.10,3.80,3.50,3.40,3.20,3.60,3.50,3.30,4.40,5.80,5.60,5.00,4.10,3.00,2.60,3.60,7.30,7.80,6.70,5.40,4.60,3.80,3.50
50000,Vermont,VT,5.00,6.60,6.10,5.20,4.60,4.30,4.30,3.90,3.40,3.00,2.80,3.30,4.00,4.30,3.70,3.50,3.70,4.00,4.70,6.60,6.10,5.50,5.00,4.40,4.00,3.70
51000,Virginia,VA,4.50,5.90,6.30,5.20,4.90,4.50,4.40,3.80,2.90,2.70,2.30,3.20,4.20,4.10,3.80,3.60,3.10,3.00,3.90,6.70,7.10,6.60,6.00,5.70,5.20,4.40
53000,Washington,WA,5.20,6.30,7.30,7.30,6.60,6.40,6.10,4.90,4.80,4.90,5.20,6.30,7.40,7.40,6.30,5.60,5.00,4.70,5.40,9.20,10.00,9.30,8.10,7.00,6.10,5.70
54000,West Virginia,WV,8.50,10.60,11.30,10.60,8.80,7.90,7.50,6.90,6.60,6.50,5.50,5.00,5.90,6.00,5.30,5.10,4.90,4.60,4.30,7.70,8.70,8.10,7.50,6.70,6.60,6.70
55000,Wisconsin,WI,4.40,5.50,5.10,4.80,4.50,3.80,3.60,3.60,3.40,3.10,3.50,4.50,5.40,5.70,5.00,4.70,4.70,4.90,4.90,8.60,8.70,7.80,7.00,6.70,5.40,4.60
56000,Wyoming,WY,5.30,5.20,5.60,5.30,5.00,4.80,4.90,4.80,4.70,4.60,3.90,3.80,4.00,4.30,3.80,3.60,3.20,2.80,3.10,6.30,6.40,5.80,5.30,4.70,4.10,4.20
